;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
170;171;198;USTAY YAPI TAAHHUT VE TICARET AS, Istanbul, Turkey†;213.9;234.0;246.0;0;0;0;0;0;100;0;0;0;Y;USTAY YAPI TAAHHUT VE TICARET AS;Istanbul;Turkey;2022
171;172;174;ANHUI CONSTRUCTION ENG'G GROUP CO. LTD., Hefei City, Anhui, China†;212.9;16593.0;19999.0;28;0;0;5;0;0;67;0;0;Y;ANHUI CONSTRUCTION ENG'G GROUP CO. LTD.; Hefei City,Anhui;China;2022
172;173;155;CHINA NONFERROUS METAL IND. FOR. ENG’G AND CONSTR., Beijing, China ;212.3;222.6;1196.8;0;0;0;21;0;79;0;0;0;N;CHINA NONFERROUS METAL IND. FOR. ENG’G AND CONSTR.;Beijing;China;2022
173;174;152;SENER GRUPO DE INGENIERIA SA, Getxo, Bizkaia, Spain†;209.4;257.0;169.5;1;41;41;0;0;12;0;0;2;Y;SENER GRUPO DE INGENIERIA SA; Getxo,Bizkaia;Spain;2022
174;175;212;MBD INSAAT SANAYI VE TICARET AS, Ankara, Turkey†;208.4;254.3;119.7;76;0;0;8;12;0;4;0;0;Y;MBD INSAAT SANAYI VE TICARET AS;Ankara;Turkey;2022
175;176;171;SHENYANG YUANDA ALUMINUM INDUS. ENG’G CO. LTD., Shenyang, China†;208.4;424.6;608.4;93;0;0;0;0;0;7;0;0;Y;SHENYANG YUANDA ALUMINUM INDUS. ENG’G CO. LTD.;Shenyang;China;2022
176;177;163;POLAT YOL YAPI SAN. VE TIC. AS, Istanbul, Turkey†;207.7;274.9;282.7;0;0;0;0;0;0;100;0;0;Y;POLAT YOL YAPI SAN. VE TIC. AS;Istanbul;Turkey;2022
177;178;168;DEKINSAN GRUP INSAAT AS, Ankara, Turkey ;207.7;223.9;379.2;100;0;0;0;0;0;0;0;0;N;DEKINSAN GRUP INSAAT AS;Ankara;Turkey;2022
178;179;**;SHAANXI CONSTRUCTION ENG'G HOLDING GROUP CO. LTD., Xi’an, China†;198.4;28347.0;57401.0;38;0;0;18;0;23;21;0;0;Y;SHAANXI CONSTRUCTION ENG'G HOLDING GROUP CO. LTD.;Xi’an;China;2022
179;180;194;JIANGXI CONSTRUCTION ENG'G (GROUP) CORP . LTD., Nanchang, China†;195.9;8540.6;10108.4;14;0;0;0;0;0;86;0;0;Y;JIANGXI CONSTRUCTION ENG'G (GROUP) CORP . LTD.;Nanchang;China;2022
180;181;175;SHANDONG HI-SPEED DEJIAN GRP . CO. LTD., Dezhou City, Shandong, China ;194.2;1792.1;1550.3;49;8;11;0;0;0;32;0;0;N;SHANDONG HI-SPEED DEJIAN GRP . CO. LTD.; Dezhou City,Shandong;China;2022
181;182;180;HUNAN CONSTRUCTION ENGINEERING GROUP CO. LTD., Changsha, China†;177.4;17375.1;19267.7;25;0;50;0;0;3;23;0;0;Y;HUNAN CONSTRUCTION ENGINEERING GROUP CO. LTD.;Changsha;China;2022
182;183;207;GREENLAND INFRA. CONSTR. GROUP CO. LTD., Shanghai, Shanghai, China†;172.9;54395.4;95937.3;0;0;0;0;0;90;10;0;0;Y;GREENLAND INFRA. CONSTR. GROUP CO. LTD.; Shanghai,Shanghai;China;2022
183;184;192;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD., Changsha, China†;172.9;2548.1;2949.6;0;0;0;0;0;0;100;0;0;Y;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD.;Changsha;China;2022
184;185;156;PARSONS CORP ., Centreville, Va., U.S.A.†;171.2;554.1;NA;45;0;0;0;0;0;55;0;0;Y;PARSONS CORP .; Centreville,Va.;U.S.A.;2022
185;186;160;MWH, Broomfield, Colo., U.S.A.†;161.7;598.0;432.3;0;0;0;55;45;0;0;0;0;Y;MWH; Broomfield,Colo.;U.S.A.;2022
186;187;196;HASKELL, Jacksonville, Fla., U.S.A.†;159.2;1353.0;1881.7;0;3;0;0;0;97;0;0;0;Y;HASKELL; Jacksonville,Fla.;U.S.A.;2022
187;188;218;SOUTHLAND HOLDINGS LLC, Grapevine, Texas, U.S.A.†;159.0;1279.0;1380.0;0;0;0;0;57;0;42;0;0;Y;SOUTHLAND HOLDINGS LLC; Grapevine,Texas;U.S.A.;2022
188;189;167;XIAN ELECTRIC ENGINEERING CO. LTD., Xi’an, Shaannxi, China ;155.9;155.9;NA;0;0;100;0;0;0;0;0;0;N;XIAN ELECTRIC ENGINEERING CO. LTD.; Xi’an,Shaannxi;China;2022
189;190;227;VELESSTROY LLC, Moscow, Russia ;144.0;2448.0;NA;0;0;0;0;0;100;0;0;0;N;VELESSTROY LLC;Moscow;Russia;2022
190;191;199;TIANYUAN CONSTRUCTION GROUP CO. LTD., Linyi, China†;143.0;143.0;143.0;100;0;0;0;0;0;0;0;0;Y;TIANYUAN CONSTRUCTION GROUP CO. LTD.;Linyi;China;2022
191;192;201;YENIGUN INSAAT SANAYI VE TICARET AS, Ankara, Turkey ;140.5;143.7;NA;24;0;47;0;0;0;28;0;0;N;YENIGUN INSAAT SANAYI VE TICARET AS;Ankara;Turkey;2022
192;193;210;ZHENGTAI GROUP CO. LTD., Taizhou, Jiangsu, China ;140.5;1168.6;837.6;23;0;0;77;0;0;0;0;0;N;ZHENGTAI GROUP CO. LTD.; Taizhou,Jiangsu;China;2022
193;194;247;GRAY CONSTRUCTION, Lexington, Ky., U.S.A.†;139.3;2716.7;2716.7;0;0;0;0;0;100;0;0;0;Y;GRAY CONSTRUCTION; Lexington,Ky.;U.S.A.;2022
194;195;190;ZHEJIANG COMMUNICATIONS CONSTR. GROUP CO. LTD., Hangzhou, China†;138.2;6411.0;11150.2;6;0;0;4;0;0;90;0;0;Y;ZHEJIANG COMMUNICATIONS CONSTR. GROUP CO. LTD.;Hangzhou;China;2022
195;196;183;TEPE INSAAT SANAYI AS, Ankara, Turkey†;138.1;198.1;372.0;40;0;0;0;0;23;37;0;0;Y;TEPE INSAAT SANAYI AS;Ankara;Turkey;2022
196;197;200;CHONGQING INTERNATIONAL CONSTRUCTION CORP ., Chongqing, China†;137.2;575.4;452.9;3;0;0;20;0;0;77;0;0;Y;CHONGQING INTERNATIONAL CONSTRUCTION CORP .;Chongqing;China;2022
197;198;189;NANTONG CONSTRUCTION GROUP CO. LTD., Nantong, China†;135.0;2558.5;3109.1;54;0;16;8;0;17;4;0;0;Y;NANTONG CONSTRUCTION GROUP CO. LTD.;Nantong;China;2022
198;199;202;CHINA GANSU INT’L CORP . FOR ECON. AND TECH. COOP ., Lanzhou, China†;130.2;217.5;262.6;69;0;0;6;0;0;25;0;0;Y;CHINA GANSU INT’L CORP . FOR ECON. AND TECH. COOP .;Lanzhou;China;2022
199;200;149;COMBINED GROUP CONTRACTING CO. (K.S.C), Kuwait, Kuwait ;124.4;292.3;NA;75;0;0;0;0;0;25;0;0;N;COMBINED GROUP CONTRACTING CO. (K.S.C);Kuwait;Kuwait;2022
200;201;211;NANTONG SI JIAN CONSTRUCTION GROUP CO. LTD, Nantong City, China†;120.4;9730.5;7230.4;100;0;0;0;0;0;0;0;0;Y;NANTONG SI JIAN CONSTRUCTION GROUP CO. LTD;Nantong City;China;2022
201;202;195;RAMBOLL GROUP A/S, Copenhagen, Denmark†;120.2;120.2;134.5;0;11;9;3;15;2;0;60;0;Y;RAMBOLL GROUP A/S;Copenhagen;Denmark;2022
202;203;240;BURNS & MCDONNELL, Kansas City, Mo., U.S.A.†;118.5;2310.4;3435.0;0;0;99;0;0;0;0;0;0;Y;BURNS & MCDONNELL; Kansas City,Mo.;U.S.A.;2022
203;204;182;LOTTE ENGINEERING & CONSTRUCTION CO. LTD., Seoul, South Korea†;117.0;4965.0;13924.7;38;0;41;0;6;6;5;0;0;Y;LOTTE ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;South Korea;2022
